Smiles;IC50 (nM);pIC50 (M);pIC50
O=C(O)[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)CC1;23;0.000000023;7.638272164
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)NCc3ccccc3)cc2)CC1;110;0.00000011;6.958607315
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)NC3CCCCC3)cc2)CC1;160;0.00000016;6.795880017
O=C(Nc1ccccc1)N1CCOc2cc(-c3ccc([C@H]4CC[C@H](Cc5nnn[nH]5)CC4)cc3)ccc21;170;0.00000017;6.769551079
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3cnc(OCC(C)(C)C(=O)O)nc3)cc2O1;310;0.00000031;6.508638306
Nc1ccccc1NC(=O)N1CCOc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;5200;0.0000052;5.283996656
CC1(C)CN(c2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CCC1CC(=O)O;33;0.000000033;7.48148606
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;6.3;6.3E-09;8.200659451
O=C(O)C1(COc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)COC1;36;0.000000036;7.443697499
N#Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](CC(=O)O)CC5)nc4)nc3)nc2c1;17.8;1.78E-08;7.749579998
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cn3)cn2)CC1;5.2;5.2E-09;8.283996656
Cc1ccc2[nH]c(-c3ccc(N4CCC(O[C@H]5CC[C@H](CC(=O)O)CC5)CC4)nc3)nc2n1;1908;0.000001908;5.71942163
O=C(O)CC1COC2(CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)C1;178;0.000000178;6.749579998
CS(=O)(=O)c1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](C(=O)O)CC5)nc4)nc3)nc2c1;358;0.000000358;6.446116973
Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](C(=O)O)CC5)nc4)nc3)nc2n1;62;0.000000062;7.207608311
O=C(NCCNC(=O)c1ccc(OC2C3CC4CC2CC(C(=O)O)(C4)C3)cc1)Nc1ccccc1;491;0.000000491;6.308918508
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)CC1;1200;0.0000012;5.920818754
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(C(=O)Nc5ccccc5)c[nH]c4c3)cc2)CC1;284;0.000000284;6.54668166
CCc1cc(N2CCOc3ncnc(N)c3C2=O)cc(C)c1C#CC(C)(C)CC(=O)O;12;0.000000012;7.920818754
O=C(O)[C@H]1CC[C@@H](OC2CCN(c3ccc(-c4nc5cc(F)ccc5[nH]4)cn3)CC2)CC1;26;0.000000026;7.585026652
O=C(O)C[C@H]1CC[C@@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;45;0.000000045;7.346787486
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC(C)(C)C(=O)O)nc3)cc2O1;73;0.000000073;7.13667714
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC4(C(=O)O)CC4)nc3)cc2O1;90;0.00000009;7.045757491
CCCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;160;0.00000016;6.795880017
CC(C)C1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;300;0.0000003;6.522878745
C[C@@H]1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;18;0.000000018;7.744727495
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3C(F)(F)F)cc2)CC1;16;0.000000016;7.795880017
CC(C(=O)O)[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;200;0.0000002;6.698970004
C[C@H]1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;360;0.00000036;6.443697499
O=C(Nc1ccc(N2CCN(C(=O)Oc3ccccc3Cl)CC2)nc1)c1oc(N2CCCCC2)nc1C(F)(F)F;1387;0.000001387;5.857923539
CC(C)(C)OC(=O)NCCNC(=O)c1ccc(OC2C3CC4CC2CC(C(=O)O)(C4)C3)cc1;2651;0.000002651;5.576590272
Cc1ccccc1-c1ccc(C(=O)NCCNC(=O)c2ccc(O[C@H]3C4CC5CC3C[C@](C(=O)O)(C5)C4)cc2)cc1;2;0.000000002;8.698970004
O=C(O)CC1C2CC3CC1CC(Oc1ccc(C(=O)NCCNC(=O)c4ccc(-c5ccccc5)cc4)cc1)(C3)C2;69;0.000000069;7.161150909
CC(C)(C#Cc1ccc(N2CCOc3ncnc(N)c3C2=O)cc1Cl)CC(=O)O;26;0.000000026;7.585026652
CC(=O)C[C@H]1CC[C@H](c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)CC1;38;0.000000038;7.420216403
O=C(O)C1CC(Nc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)C1;247;0.000000247;6.607303047
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cc3)cc2)CC1;1.8;1.8E-09;8.744727495
COCCN(C)c1ccc(NC(=O)c2oc(-c3ccccc3)nc2C(F)(F)F)cn1;2849;0.000002849;5.545307551
CC(C)(C#Cc1ccc(N2CCOc3ncnc(N)c3C2=O)cc1C(F)(F)F)CC(=O)O;24;0.000000024;7.619788758
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)cn3)cn2)CC1;8.1;8.1E-09;8.091514981
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;4.2;4.2E-09;8.37675071
O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccc(F)c(F)c4)o3)cc2)CC1;1.1;1.1E-09;8.958607315
O=C(NCCNC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(OC2C3CC4CC2CC(C(=O)O)(C4)C3)cc1;8;0.000000008;8.096910013
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccc(F)cc3C(F)(F)F)cc2)CC1;35;0.000000035;7.455931956
CCc1ccccc1NC(=O)N1CCOc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;37;0.000000037;7.431798276
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Cc3ccccc3)cc2)CC1;110;0.00000011;6.958607315
